player,double_play_opportunities,actual_double_plays,expected_double_plays,double_play_avoidance_runs,player_key
Kayla Kowalik,5,0,0.7590449443765069,0.6830144801926546,kaylakowalik
Sis Bates,3,0,0.4734465449065193,0.42662958667951656,sisbates
Jenna Laird,7,1,1.092346526588146,0.05045025867115829,jennalaird
Sydney Romero,8,3,1.024853343573757,-1.8846188974720928,sydneyromero
Ailana Agbayani,8,0,1.2104734374335033,1.0890906770553594,ailanaagbayani
Skylar Wallace,3,0,0.37998921251348433,0.33938912612282895,skylarwallace
Bella Dayton,5,0,0.7365574604115981,0.662022885337268,belladayton
Taryn Kern,3,1,0.42458757530199187,-0.5524582732488624,tarynkern
Amari Harper,2,1,0.3408689745930999,-0.6255002193756249,amariharper
Sydney Sherrill,5,0,0.6739249203793509,0.6035567222408386,sydneysherrill
Keirstin Roose,1,1,0.16423948220064724,-0.7852725351123211,keirstinroose
Mary Iakopo,3,2,0.48521249313061005,-1.4293452194700578,maryiakopo
Rachel Becker,3,1,0.5069067104421565,-0.47561508632743277,rachelbecker
Jordyn Rudd-Lee,1,1,0.1547169811320755,-0.7941615902308649,jordynruddlee
Sahvanna Jaquish,4,2,0.5043935913875464,-1.4165476789230393,sahvannajaquish
Jaydyn Goodwin,2,0,0.37679149329634765,0.3415117348351549,jaydyngoodwin
Jackie Lis,5,0,0.6127699863182552,0.5464698733420628,jackielis
Aminah Vega,4,0,0.5949570249075653,0.5349494598595016,aminahvega
Delanie Wisz,3,0,0.39983320639021996,0.35791307839882525,delaniewisz
Devyn Netz,4,1,0.6167589422306403,-0.3781779434512703,devynnetz
Tiare Jennings,2,1,0.3199605190848526,-0.645017824269347,tiarejennings
Erin Coffel,2,0,0.30004623208506703,0.26987164237608113,erincoffel
Tianna Bell,2,0,0.2337954705411633,0.20802794535063307,tiannabell
Reese Atwood,5,1,0.5124245541354903,-0.4806795200449245,reeseatwood
Grace Jenkins,3,1,0.42847908182676453,-0.5488256334892259,gracejenkins
Rylie Boone,4,0,0.635785059722594,0.5730615744436007,rylieboone
Jessi Warren,3,0,0.44739042825171044,0.40230674802064514,jessiwarren
Sami Williams,2,0,0.3094660194174757,0.27866481637519935,samiwilliams
Leighann Goode,2,0,0.22780536246276067,0.2024363050356017,leighanngoode
Sydney Stewart,3,2,0.5204712183462871,-1.3964319386423822,sydneystewart
Kennedy Powell,2,0,0.2070633768746976,0.18307409632250926,kennedypowell
Mia Davidson,2,2,0.28638446730491735,-1.6098394007983639,miadavidson
Haley Lee,3,0,0.3757741988187125,0.335454499201977,haleylee
Maddie Moore,1,0,0.12214498510427012,0.10891217039212939,maddiemoore
Bri Ellis,1,0,0.12214498510427012,0.10891217039212939,briellis
Michaela Edenfield,1,0,0.11901306240928883,0.1059885862137469,michaelaedenfield
Jocelyn Erickson,4,0,0.5595113065070932,0.5018616248139306,jocelynerickson
Jessica Clements,2,0,0.1981132075471698,0.17471930088591217,jessicaclements
Sierra Romero,2,1,0.3862112806287563,-0.5831741272438988,sierraromero
Morgan Zerkle,6,0,0.7982790921058003,0.7145311220315566,morganzerkle
Sharlize Palacios,4,0,0.4848135126188751,0.4321328001779908,sharlizepalacios
Aliyah Andrews,6,0,0.9825230228646606,0.886518968919591,aliyahandrews
Hannah Flippen,6,2,0.9974811193248154,-0.9664760337715634,hannahflippen
Bubba Nickles-Camarena,3,0,0.3880965465504758,0.3469571524848435,bubbanicklescamarena
Ana Gold,1,0,0.11901306240928883,0.1059885862137469,anagold
Aliyah Binford,4,1,0.571532522439282,-0.4203958582033743,aliyahbinford
Aubrey Leach,2,0,0.29267344711963494,0.26298930217333794,aubreyleach
Alyssa Brito,2,0,0.24350420840524098,0.21709084861352795,alyssabrito
Jayda Coleman,4,0,0.7241100323624595,0.6555110847650932,jaydacoleman
Jadelyn Allchin,8,0,1.2027304273549007,1.0818627394708418,jadelynallchin
Korbe Otis,2,0,0.35253251511265804,0.3188664872640029,korbeotis
Kendra Falby,3,0,0.4474920268105833,0.40240158814544874,kendrafalby
Dakota Kennedy,5,1,0.7768065700012943,-0.23388445071810948,dakotakennedy
Megan Grant,3,0,0.3959774363501671,0.3543137978984976,megangrant
McKenzie Clark,1,0,0.1116504854368932,0.09911577495850368,mckenzieclark
Danieca Coffey,1,0,0.11901306240928883,0.1059885862137469,daniecacoffey
Jordan Woolery,4,0,0.5083967175598865,0.45414722759396003,jordanwoolery
Tori Vidales,4,2,0.5579866439034302,-1.3665196879200252,torividales
Caroline Jacobsen,3,0,0.5083562657330265,0.45921707922640254,carolinejacobsen
Mac Barbara,1,0,0.15247322794492607,0.13722294928496964,macbarbara
Taylor Biehl,2,0,0.36205501618122976,0.3277555423825466,taylorbiehl
Sydney McKinney,1,0,0.1116504854368932,0.09911577495850368,sydneymckinney
Kailey Wycoff,1,0,0.0880503144654088,0.07708551010876237,kaileywyckoff
Rachel Garcia,1,0,0.15247322794492607,0.13722294928496964,rachelgarcia
Sarah Gordon,1,0,0.10787486515641855,0.095591312578489,sarahgordon
Valerie Cagle,1,0,0.110062893081761,0.0976337907771498,valeriecagle
Kelly Torres,1,0,0.12214498510427012,0.10891217039212939,kellytorres
Aleshia Ocasio,1,0,0.1547169811320755,0.1393174458473072,aleshiaocasio
Maya Brady,1,0,0.18839574664817382,0.17075586741757745,mayabrady
Baylee Klingler,1,1,0.16603773584905662,-0.7835939030299799,bayleeklingler
